,230-280,280-330,330-380,380-430,430-480,480-530,530-580,580-630,630-680,680-730
10,0.0686362,0.3377240,0.5110700,0.7455598,1.0127309,0.9869400,0.9637299,0.8983301,0.8030600,0.7224899
11,0.0686762,0.3379240,0.5140598,0.7541800,1.0321000,1.0121500,0.9946900,0.9344800,0.8448700,0.7687299
12,0.0686963,0.3380240,0.5142701,0.7544905,1.0321101,1.0131599,0.9957000,0.9348901,0.8451699,0.7690398
13,0.0687163,0.3381240,0.5144699,0.7546917,1.0321212,1.0131699,0.99571,0.9351901,0.8453800,0.7692500
14,0.0687363,0.3382240,0.5145798,0.7549102,1.0321399,1.0131901,0.9957200,0.9354000,0.8455900,0.7694499
15,0.0687363,0.3382250,0.5146801,0.7550198,1.0331503,1.0132001,0.9957301,0.9355099,0.8457000,0.7695600
16,0.0687464,0.3382250,0.5147001,0.7550402,1.0331698,1.0132199,0.9957399,0.9355200,0.8458098,0.7695700
